0:0:0:0:0:0:0:1 - - [03/Jul/2016:23:08:40 +0530] "GET /ShopingCartFrontEnd/resources/images/17.jpg;jsessionid=84189DA00E322B12BEC0FD4A39C0A59A HTTP/1.1" 200 2554
0:0:0:0:0:0:0:1 - - [03/Jul/2016:23:08:40 +0530] "GET /ShopingCartFrontEnd/resources/images/18.jpg;jsessionid=84189DA00E322B12BEC0FD4A39C0A59A HTTP/1.1" 200 10861
0:0:0:0:0:0:0:1 - - [03/Jul/2016:23:08:41 +0530] "GET /ShopingCartFrontEnd/resources/images/19.jpg;jsessionid=84189DA00E322B12BEC0FD4A39C0A59A HTTP/1.1" 200 11903
0:0:0:0:0:0:0:1 - - [03/Jul/2016:23:08:41 +0530] "GET /ShopingCartFrontEnd/resources/images/20.jpg;jsessionid=84189DA00E322B12BEC0FD4A39C0A59A HTTP/1.1" 200 14975
0:0:0:0:0:0:0:1 - - [03/Jul/2016:23:08:41 +0530] "GET /ShopingCartFrontEnd/resources/images/21.jpg;jsessionid=84189DA00E322B12BEC0FD4A39C0A59A HTTP/1.1" 200 8264
0:0:0:0:0:0:0:1 - - [03/Jul/2016:23:08:41 +0530] "GET /ShopingCartFrontEnd/resources/images/22.jpg;jsessionid=84189DA00E322B12BEC0FD4A39C0A59A HTTP/1.1" 200 18416
0:0:0:0:0:0:0:1 - - [03/Jul/2016:23:08:41 +0530] "GET /ShopingCartFrontEnd/resources/images/15.jpg;jsessionid=84189DA00E322B12BEC0FD4A39C0A59A HTTP/1.1" 200 1512696
0:0:0:0:0:0:0:1 - - [03/Jul/2016:23:08:41 +0530] "GET /ShopingCartFrontEnd/resources/images/23.jpg;jsessionid=84189DA00E322B12BEC0FD4A39C0A59A HTTP/1.1" 200 10122
0:0:0:0:0:0:0:1 - - [03/Jul/2016:23:08:50 +0530] "GET /ShopingCartFrontEnd/login.jsp HTTP/1.1" 200 4029
0:0:0:0:0:0:0:1 - - [03/Jul/2016:23:08:50 +0530] "GET /ShopingCartFrontEnd/resources/images/backs.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2016:23:08:50 +0530] "GET /ShopingCartFrontEnd/resources/images/vvvvvv.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2016:23:08:50 +0530] "GET /ShopingCartFrontEnd/resources/images/images.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2016:23:08:50 +0530] "GET /ShopingCartFrontEnd/resources/images/n.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2016:23:08:50 +0530] "GET /ShopingCartFrontEnd/resources/images/index.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2016:23:08:50 +0530] "GET /ShopingCartFrontEnd/resources/images/21.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2016:23:08:50 +0530] "GET /ShopingCartFrontEnd/resources/images/ssssback.jpg HTTP/1.1" 304 -
